"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 22 17:06:38 ICT 2021","Tue Jun 22 17:06:38 ICT 2021","377","","","","","","The menu is loaded",""
"broken","Tue Jun 22 17:06:38 ICT 2021","Tue Jun 22 17:06:38 ICT 2021","2","","","","","","Posting a duplicated job with JOB_LINK_ALREADY_EXISTS",""
